Song Index,Song,artist_id,Track No.,AlbumID_Rank,BPM,Energy,Dance,Loud,Valence,Duration,Acoustic,Popularity,Spotify_Song
1,War Pigs / Luke's Wall - 2014 Remaster,1,1,1,183,62,33,-12,42,7:54,22,63,2rd9ETlulTbz6BYZcdvIE1
2,Paranoid - 2016 Remaster,1,2,1,163,66,42,-12,45,2:48,0,68,1Y373MqadDRtclJNdnUXVc
3,Planet Caravan - 2013 Remaster,1,3,1,90,6,37,-29,34,4:29,94,52,2VDg6h3Qr3F8UuFVInQxE6
4,Iron Man - 2014 Remaster,1,4,1,156,79,34,-11,43,5:55,0,66,3IOQZRcEkplCXg6LofKqE9
5,Electric Funeral - 2013 Remaster,1,5,1,125,49,36,-13,28,4:50,43,49,7As8h8LJTMIritB8QwSmqr
6,Hand of Doom - 2013 Remaster,1,6,1,142,57,45,-12,23,7:08,2,46,72YRB6ar59nBsNdnn0cVdD
7,Rat Salad - 2013 Remaster,1,7,1,100,59,51,-14,45,2:31,1,42,2b8xbWvck5yh9vvEogsfqa
8,Jack the Stripper / Fairies Wear Boots - 2013 Remaster,1,8,1,140,66,49,-11,63,6:12,0,49,6EKrBVHDk20hwjYWGPQQlF
9,Battery,2,1,2,97,94,49,-7,39,5:13,0,10,7qRxAH7ZRB2Ita3mebXfR3
10,Master Of Puppets,2,2,2,105,87,54,-8,59,8:36,0,15,5cW3DEWYYv0tXZMwcUZNRg
11,The Thing That Should Not Be,2,3,2,112,78,68,-8,50,6:37,0,3,6ZertsLLGL2puI2Vj5iy5T
12,Welcome Home (Sanitarium),2,4,2,105,83,33,-8,38,6:28,0,8,5Nu6hybktveVXtgD7hDLVD
13,Disposable Heroes,2,5,2,90,94,26,-7,43,8:17,0,3,2CbYOuq9uxqclV21HJaJ4B
14,Leper Messiah,2,6,2,139,85,38,-8,54,5:41,0,0,6yyionnLDzrrSET4pGoFSX
15,Orion (Instrumental),2,7,2,129,69,36,-9,37,8:28,0,5,1J6aXHOMNalN2YGLpVAD7e
16,"Damage, Inc.",2,8,2,92,87,38,-9,16,5:30,0,3,5PZ03nZ4rF3dG1QH7NeXMp
17,Rapid Fire,3,1,3,135,99,38,-6,26,4:08,0,43,1Ym7220l4W7Yz7Yt26rWSr
18,Metal Gods,3,2,3,101,85,58,-7,42,3:58,3,45,0VFfZVCFNe1I2IIChVBR5m
19,Breaking the Law,3,3,3,164,96,36,-6,49,2:34,2,68,2RaA6kIcvomt77qlIgGhCT
20,Grinder,3,4,3,140,88,44,-5,59,3:58,7,44,54IuIxOITRtbK8cU7fHIQf
21,United,3,5,3,85,64,63,-7,72,3:35,28,45,5QJTiFUvKTVEwcDrek3xpU
22,You Don't Have to Be Old to Be Wise,3,6,3,136,93,52,-6,50,5:03,1,37,0gJWAXkAbWEbK66D78EZ6C
23,Living After Midnight,3,7,3,135,82,61,-6,82,3:30,1,62,0IXpUl1fn2QZcBavfuq0H4
24,The Rage,3,8,3,153,75,34,-6,55,4:44,0,37,0Pawjj5J6FltwqbfSjsvyp
25,Steeler,3,9,3,105,98,47,-6,44,4:29,0,37,62ckogL6wRdFuiPWV8c1U3
28,Invaders - 1998 Remastered Version,4,1,4,112,96,45,-4,67,3:24,1,0,3TuvYAA1cuKWdXcrtKZTfF
29,Children Of The Damned - 1998 Remastered Version,4,2,4,136,83,31,-6,45,4:36,1,0,1TraIUXla58jdja3yKo3lQ
30,The Prisoner - Edit;1998 Remastered Version,4,3,4,107,90,34,-5,65,6:03,0,0,5gsa6ix5YC5rD8DfKxmPRV
31,22 Acacia Avenue - 1998 Remastered Version,4,4,4,112,92,30,-5,62,6:36,1,0,5n5q2Z3oZV9XHluXuiDC4D
32,The Number Of The Beast - 1998 Remastered Version,4,5,4,100,92,43,-6,37,4:52,2,2,139RwLyp7r8F9ojvhGF5lC
33,Run to the Hills - 1998 Remastered Version,4,6,4,173,95,23,-5,47,3:54,1,3,0sxYYT48UPkmrDx8p4Hnrl
34,Gangland - 1998 Remastered Version,4,7,4,124,96,29,-5,39,3:49,0,0,2ExquC7ZoaOE9uNsg2c8YM
35,Total Eclipse - 1998 Remastered Version,4,8,4,140,85,38,-6,53,4:26,0,0,5KOHd90fkcnS37GkBUjsdW
37,Black Sabbath - 2014 Remaster,1,1,5,133,43,32,-14,13,6:18,5,48,0xIZPPBfLqQEAj1BLmGrNc
38,The Wizard - 2014 Remaster,1,2,5,101,68,39,-12,36,4:23,3,49,6sjTzevtstOxOMsFsypsEm
39,Wasp / Behind the Wall of Sleep / Bassically / N.I.B. - 2014 Remaster,1,3,5,102,47,38,-12,50,9:44,3,46,4hx9RvP93j79EJLAiyJQoI
40,Wicked World - 2013 Remaster,1,4,5,169,56,30,-12,57,4:45,0,42,7n5JBulRFW7P1WqjhhjbrI
41,A Bit of Finger / Sleeping Village / Warning - 2013 Remaster,1,5,5,136,55,36,-13,34,14:13,8,39,01xU5pDHQ8FfVhEi98UFMY
42,Angel Of Death,5,1,6,106,99,33,-4,8,4:51,0,56,61dTqhd46yMkSWmC5LAh5F
43,Piece By Piece,5,2,6,110,100,47,-4,8,2:03,0,41,13wcFlh4YHlCT0W7FRxWki
44,Necrophobic,5,3,6,124,100,34,-5,19,1:41,0,39,3tpZGughvVt9faNl89jzj4
45,Altar Of Sacrifice,5,4,6,112,100,29,-4,4,2:51,0,40,3ci1aGelb4y8BxI5abOwCH
